machineSize numNodes numCores totNumCores totCost mpiThroughput mpiThroughputDeviation mpiLatency mpiLatencyDeviation tStage1Ruepel tMatLoadRuepel tKSPSolveRuepel nIterationRuepel tIterationRuepel mFlopsRuepel tStage1Nordborg tMatLoadNordborg tKSPSolveNordborg nIterationNordborg tIterationNordborg mFlopsNordborg winhpcgGFlops 
A8 1 1 1 2.45 NA NA NA NA 1.7545e+000 1.5748e+000 3.8858e+001 200 0.19429 1036 5.9078e-001 5.3111e-001 8.9598e+000 143 0.06265594405594405 1089 0.761287 
A8 1 2 2 2.45 NA NA NA NA 1.4768e+000 1.3777e+000 2.0452e+001 200 0.10226 1966 5.0242e-001 4.6718e-001 5.2964e+000 166 0.031906024096385543 2131 1.39091 
A8 1 4 4 2.45 NA NA NA NA 9.8324e-001 9.2035e-001 1.1461e+001 200 0.057305 3506 3.3721e-001 3.1106e-001 2.8700e+000 169 0.01698224852071006 3999 2.43654 
A8 1 8 8 2.45 NA NA NA NA 7.5581e-001 7.0384e-001 7.7927e+000 200 0.0389635 5137 2.6619e-001 2.3762e-001 2.1784e+000 199 0.010946733668341709 6170 3.61416 
A8 2 1 2 4.9 3647.545 0.367 2.782 0.181 1.5144e+000 1.4160e+000 3.8245e+001 400 0.09561249999999999 2114 5.4195e-001 4.8243e-001 5.2791e+000 166 0.03180180722891566 2138 1.49999 
A8 2 8 16 4.9 NA NA NA NA 6.7107e-001 6.2272e-001 7.1460e+000 400 0.017865 11171 2.5935e-001 2.2702e-001 1.0777e+000 192 0.005613020833333334 11886 6.91212 
A8 4 1 4 9.8 3643.685 4.031 2.896 0.223 1.0198e+000 9.6204e-001 1.9643e+001 400 0.0491075 4112 3.7996e-001 3.3026e-001 2.5775e+000 169 0.015251479289940828 4453 2.98113 
A8 4 8 32 9.8 NA NA NA NA 6.4701e-001 6.0398e-001 3.5244e+000 400 0.008811 22332 2.7156e-001 2.3734e-001 5.9913e-001 200 0.0029956500000000003 21768 14.2245 
A8 8 1 8 19.6 3642.621 5.984 3.065 0.248 7.8825e-001 7.4761e-001 1.9818e+001 800 0.024772500000000003 8135 2.7457e-001 2.5629e-001 1.5111e+000 199 0.007593467336683418 8895 5.9399 
A8 8 8 64 19.6 NA NA NA NA 9.1278e-001 6.9353e-001 4.1317e+000 800 0.005164625000000001 37040 3.5160e-001 3.2189e-001 7.2466e-001 314 0.0023078343949044585 27006 27.429 
