machineSize numNodes numCores totNumCores totCost mpiThroughput mpiThroughputDeviation mpiLatency mpiLatencyDeviation tStage1Ruepel tMatLoadRuepel tKSPSolveRuepel nIterationRuepel tIterationRuepel mFlopsRuepel tStage1Nordborg tMatLoadNordborg tKSPSolveNordborg nIterationNordborg tIterationNordborg mFlopsNordborg winhpcgGFlops 
verylarge 1 1 1 0.64 NA NA NA NA 6.6093e+000 6.1342e+000 1.3645e+002 200 0.6822499999999999 295 2.3229e+000 2.1520e+000 3.1640e+001 143 0.22125874125874126 308 0.20673 
verylarge 1 2 2 0.64 NA NA NA NA 5.8352e+000 5.5887e+000 7.2247e+001 200 0.361235 557 1.9766e+000 1.8865e+000 1.8287e+001 166 0.11016265060240964 617 0.396832 
verylarge 1 4 4 0.64 NA NA NA NA 3.5213e+000 3.3160e+000 4.1862e+001 200 0.20931 960 1.2281e+000 1.1507e+000 1.0910e+001 169 0.06455621301775148 1052 0.673309 
verylarge 1 8 8 0.64 NA NA NA NA 2.3097e+000 2.1897e+000 2.7381e+001 200 0.136905 1462 9.1354e-001 8.5031e-001 7.9756e+000 199 0.040078391959798995 1685 1.0551 
verylarge 2 1 2 1.28 75.436 0.049 257.075 17.184 8.1227e+000 7.7676e+000 8.2197e+001 200 0.410985 489 2.6430e+000 2.5196e+000 2.1659e+001 166 0.13047590361445782 521 NA 
verylarge 2 8 16 1.28 NA NA NA NA 1.4944e+001 1.2341e+001 1.3612e+001 200 0.06806 2917 1.3002e+001 1.0543e+001 4.2248e+000 192 0.02200416666666667 3032 1.81086 
verylarge 4 1 4 2.56 70.082 7.253 213.291 21.339 5.5381e+000 5.2925e+000 4.3745e+001 200 0.21872499999999997 919 2.0793e+000 1.9834e+000 1.1642e+001 169 0.06888757396449703 986 0.617935 
verylarge 4 8 32 2.56 NA NA NA NA 5.0428e+001 4.7778e+001 7.7844e+000 200 0.038922 5029 4.5779e+001 4.3177e+001 2.9643e+000 200 0.014821500000000001 4400 3.2231 
verylarge 8 1 8 5.12 61.707 9.567 212.720 23.806 9.3379e+000 9.1183e+000 2.3908e+001 200 0.11954000000000001 1675 6.2079e+000 6.1082e+000 7.9623e+000 199 0.040011557788944725 1688 1.18981 
verylarge 8 8 64 5.12 NA NA NA NA 1.2562e+002 1.2289e+002 5.4352e+000 200 0.027176 6988 1.1816e+002 1.1552e+002 3.2582e+000 200 0.016291 3813 5.45165 
